"Group" "sort" "x" "y"
6 1 120.46272581 23.557724786
6 2 120.46363660 23.558522903
6 3 120.46454744 23.559312705
6 4 120.46545829 23.560102413
6 5 120.46636912 23.560900513
6 6 120.46727989 23.561715496
6 7 120.46833023 23.562665237
6 8 120.46936897 23.563491752
6 9 120.47039601 23.564195134
6 10 120.47141135 23.564775199
6 11 120.47241499 23.565232130
6 12 120.47340702 23.565565836
6 13 120.47480386 23.565998797
6 14 120.47620063 23.566431835
6 15 120.47759750 23.566864862
6 16 120.47899437 23.567297876
6 17 120.48030200 23.567826214
6 18 120.48157020 23.568354501
6 19 120.48282517 23.568882732
6 20 120.48409339 23.569410999
6 21 120.48540106 23.569939385
6 22 120.48657173 23.570312793
6 23 120.48777288 23.570686201
6 24 120.48898922 23.571059742
6 25 120.49020556 23.571433273
6 26 120.49140673 23.571806654
6 27 120.49257743 23.572180017
6 28 120.49383700 23.572688037
6 29 120.49509658 23.573195957
6 30 120.49635616 23.573703958
6 31 120.49761576 23.574211948
6 32 120.49885558 23.574717065
6 33 120.50008033 23.575194219
6 34 120.50128534 23.575634816
6 35 120.50246613 23.576030533
6 36 120.50361819 23.576372869
6 37 120.50473696 23.576653410
6 38 120.50594594 23.577080167
6 39 120.50714216 23.577483213
6 40 120.50832755 23.577866168
6 41 120.50950404 23.578232560
6 42 120.51067364 23.578586097
6 43 120.51183827 23.578930398
6 44 120.51299977 23.579268993
6 45 120.51416032 23.579605678
6 46 120.51549733 23.579972617
6 47 120.51683435 23.580339544
6 48 120.51817137 23.580706460
6 49 120.51950841 23.581073454
6 50 120.52084545 23.581440347
6 51 120.52150299 23.581643939
6 52 120.52216045 23.581847528
6 53 120.52281792 23.582051024
6 54 120.52402347 23.582379467
6 55 120.52522904 23.582707901
6 56 120.52643469 23.583036325
6 57 120.52764027 23.583364739
6 58 120.52884585 23.583693055
6 59 120.53005144 23.584021451
6 60 120.53125704 23.584349838
6 61 120.53246264 23.584678125
6 62 120.53366824 23.585006494
6 63 120.53484201 23.585337286
6 64 120.53600314 23.585653583
6 65 120.53715527 23.585959369
6 66 120.53830201 23.586258989
6 67 120.53944690 23.586556518
6 68 120.54059365 23.586856031
6 69 120.54174588 23.587161873
6 70 120.54290697 23.587478029
6 71 120.54408078 23.587808752
6 72 120.54522186 23.588092862
6 73 120.54637189 23.588387104
6 74 120.54752876 23.588689396
6 75 120.54869055 23.588997292
6 76 120.54985541 23.589308710
6 77 120.55102116 23.589621116
6 78 120.55218594 23.589932517
6 79 120.55334783 23.590240378
6 80 120.55450474 23.590542618
6 81 120.55532777 23.590753141
7 0 120.46496833 23.379574842
7 1 120.46398354 23.376879538
7 2 120.46336117 23.375213356
7 3 120.46294774 23.373939340
7 4 120.46190412 23.371929739
7 5 120.46102302 23.369528429
7 6 120.46040288 23.367617349
7 7 120.45853978 23.362863165
7 8 120.45776910 23.360852536
7 9 120.45742930 23.360397149
7 10 120.45709066 23.359660841
7 11 120.45679330 23.358875643
7 12 120.45620911 23.357840130
7 13 120.45596560 23.357282494
7 14 120.45577723 23.356587431
7 15 120.45557509 23.355741880
7 16 120.45523033 23.354904321
7 17 120.45508836 23.354488446
7 18 120.45434931 23.353376535
7 19 120.45408119 23.352310239
7 20 120.45380571 23.351849289
7 21 120.45342073 23.351056612
